"","Salary","Born","City","Cntry","Nat","Ht","Wt","DftYr","DftRd","Ovrl","Hand","Last.Name","First.Name","Position","Team","GP","G","A","A1","A2","PTS","Nat_Group"
"1",925000,"97-01-30","Sainte-Marie","CAN","CAN",74,190,2015,1,18,"L","Chabot","Thomas","D","OTT",1,0,0,0,0,0,"CAN"
"2",2250000,"93-12-21","Ottawa","CAN","CAN",74,207,2012,1,15,"R","Ceci","Cody","D","OTT",79,2,15,6,9,17,"CAN"
"3",8e+06,"88-04-16","St. Paul","USA","USA",72,218,2006,1,7,"R","Okposo","Kyle","RW","BUF",65,19,26,13,13,45,"USA"
"4",3500000,"92-01-07","Ottawa","CAN","CAN",77,220,2010,1,3,"R","Gudbranson","Erik","D","VAN",30,1,5,5,0,6,"CAN"
"5",1750000,"94-03-29","Toronto","CAN","CAN",76,217,2012,1,16,"R","Wilson","Tom","RW","WSH",82,7,12,4,8,19,"CAN"
"6",1500000,"79-05-23","Strathroy","CAN","CAN",70,192,1997,6,156,"L","Campbell","Brian","D","CHI",80,5,12,6,6,17,"CAN"
"7",950000,"90-11-21","Stockholm","SWE","SWE",71,185,2009,2,53,"L","Rodin","Anton","RW","VAN",3,0,1,0,1,1,"Others"
"9",1250000,"92-06-14","Scarborough","CAN","CAN",72,214,2010,2,42,"R","Smith-Pelly","Devante","RW/C/LW","N.J",53,4,5,2,3,9,"CAN"
"10",925000,"93-04-27","Petawawa","CAN","CAN",68,178,2011,7,201,"L","Peca","Matthew","C","T.B",10,1,1,1,0,2,"CAN"
"12",6e+05,"92-04-09","Ile Bizard","CAN","CAN",74,204,2010,3,89,"L","Chaput","Michael","C","VAN",68,4,5,2,3,9,"CAN"
"13",1e+06,"88-03-17","Brandon","CAN","CAN",72,200,2006,3,66,"R","White","Ryan","C","ARI/MIN",65,9,7,4,3,16,"CAN"
"14",925000,"96-06-20","Holland Landing","CAN","CAN",73,186,2014,1,4,"L","Bennett","Sam","C","CGY",81,13,13,7,6,26,"CAN"
"15",950000,"89-04-20","Red Deer","CAN","CAN",72,195,2007,4,112,"R","Sceviour","Colton","C/RW","FLA",80,9,15,9,6,24,"CAN"
"16",680000,"94-01-06","Edmonton","CAN","CAN",74,187,2012,4,105,"L","Kulak","Brett","D","CGY",21,0,3,2,1,3,"CAN"
"17",590000,"92-04-24","Oakville","CAN","CAN",71,183,2011,7,209,"L","Wilson","Scott","LW/C","PIT",78,8,18,11,7,26,"CAN"
"18",650000,"91-05-13","St. Catharines","CAN","CAN",74,203,2009,3,70,"R","Beck","Taylor","LW","EDM/NYR",5,0,0,0,0,0,"CAN"
"19",2250000,"86-04-28","Ostrava","CZE","CZE",74,235,2004,6,180,"R","Polak","Roman","D","TOR",75,4,7,2,5,11,"Others"
"20",6e+05,"90-10-08","Faribault","USA","USA",76,210,2009,4,114,"L","Helgeson","Seth","D","N.J",9,1,0,0,0,1,"USA"
"21",5e+06,"94-03-09","Vancouver","CAN","CAN",73,215,2012,1,5,"L","Rielly","Morgan","D","TOR",76,6,21,14,7,27,"CAN"
"22",5250000,"92-06-25","Wilcox","CAN","CAN",70,188,2010,1,14,"L","Schwartz","Jaden","LW/C","STL",78,19,36,24,12,55,"CAN"
"23",925000,"96-05-01","Calgary","CAN","SWE",72,190,2014,1,8,"R","Nylander","William","C/RW","TOR",81,22,39,23,16,61,"Others"
"25",717500,"96-11-26","Colorado Springs","USA","USA",77,203,2015,2,37,"R","Carlo","Brandon","D","BOS",82,6,10,3,7,16,"USA"
"26",925000,"96-05-25","Havirov","CZE","CZE",72,181,2014,1,25,"R","Pastrnak","David","RW/LW","BOS",75,34,36,22,14,70,"Others"
"27",9e+05,"98-03-14","St. Albert","CAN","CAN",71,191,2016,1,10,"L","Jost","Tyson","C/LW/RW","COL",6,1,0,0,0,1,"CAN"
"28",3750000,"88-05-28","Sherbrooke","CAN","CAN",72,200,2007,1,26,"R","Perron","David","LW/RW","STL",82,18,28,16,12,46,"CAN"
"29",792500,"94-03-23","Boden","SWE","SWE",75,209,2012,3,81,"R","Sundqvist","Oskar","C","PIT",10,0,0,0,0,0,"Others"
"31",6e+06,"91-08-22","Saskatoon","CAN","CAN",73,195,2009,1,5,"L","Schenn","Brayden","C/LW","PHI",79,25,30,17,13,55,"CAN"
"32",5500000,"92-03-20","South St.Paul","USA","USA",72,215,2010,2,37,"R","Faulk","Justin","D","CAR",75,17,20,11,9,37,"USA"
"33",724500,"92-10-26","Toronto","CAN","CAN",72,192,2011,3,65,"L","Cramarossa","Joseph","C/LW","ANA/VAN",59,4,6,3,3,10,"CAN"
"35",4e+06,"90-06-05","Prague","CZE","CZE",72,204,2010,3,66,"R","Gudas","Radko","D","PHI",67,6,17,10,7,23,"Others"
"36",8e+05,"90-09-23","Rimouski","CAN","CAN",70,206,2009,5,132,"L","Bourque","Gabriel","LW/RW","COL",6,0,0,0,0,0,"CAN"
"37",4250000,"90-06-01","Bern","CHE","CHE",73,201,2008,2,38,"L","Josi","Roman","D","NSH",72,12,37,20,17,49,"Others"
"38",742500,"94-05-01","Denver","USA","USA",74,205,2012,4,120,"L","Slavin","Jaccob","D","CAR",82,5,29,14,15,34,"USA"
"39",750000,"90-06-20","Sterling Heights","USA","USA",75,221,2008,5,128,"R","Pateryn","Greg","D","DAL/MTL",36,1,8,1,7,9,"USA"
"40",4500000,"86-08-01","Tibro","SWE","SWE",71,190,2005,7,216,"R","Stralman","Anton","D","T.B",73,5,17,8,9,22,"Others"
"41",3e+06,"92-11-12","Skellefteë","SWE","SWE",75,215,2011,1,4,"R","Larsson","Adam","D","EDM",79,4,15,3,12,19,"Others"
"42",630000,"90-05-27","Huntsville","USA","USA",74,196,2009,7,198,"R","Dowd","Nic","C","L.A",70,6,16,10,6,22,"USA"
"45",1300000,"89-04-27","Ottawa","CAN","CAN",69,160,2007,6,179,"L","Byron","Paul","LW/C/RW","MTL",81,22,21,15,6,43,"CAN"
"46",925000,"94-09-22","Stockholm","SWE","SWE",74,196,2013,1,14,"L","Wennberg","Alex","C","CBJ",80,13,46,27,19,59,"Others"
"47",7e+05,"88-02-16","Munich","DEU","DEU",75,215,2006,4,111,"R","Holzer","Korbinian","D","ANA",32,2,5,2,3,7,"Others"
"48",1200000,"92-02-18","Kosice","SVK","SVK",76,210,2010,2,46,"L","Marincin","Martin","D","TOR",25,1,6,2,4,7,"Others"
"49",925000,"97-01-13","Yaroslavl","RUS","RUS",73,201,2015,1,7,"L","Provorov","Ivan","D","PHI",82,6,24,15,9,30,"Others"
"50",925000,"97-06-23","Mt. Brydges","CAN","CAN",76,220,2015,1,11,"L","Crouse","Lawson","LW","ARI",72,5,7,5,2,12,"CAN"
"51",6e+06,"88-09-10","Thunder Bay","CAN","CAN",76,220,2006,1,2,"L","Staal","Jordan","C/LW","CAR",75,16,29,11,18,45,"CAN"
"52",950000,"83-10-19","Unity","CAN","CAN",72,200,2002,1,17,"R","Gordon","Boyd","C/RW","PHI",13,1,0,0,0,1,"CAN"
"53",2500000,"94-12-02","Boden","SWE","SWE",73,192,2013,1,5,"R","Lindholm","Elias","C/RW","CAR",72,11,34,29,5,45,"Others"
"54",1050000,"91-03-23","Pori","FIN","FIN",72,193,2009,7,182,"L","Haula","Erik","C/LW","MIN",72,15,11,7,4,26,"Others"
"55",792500,"95-03-14","Molnlycke","SWE","SWE",72,201,2013,6,180,"L","Blidh","Anton","LW","BOS",19,1,1,1,0,2,"Others"
"57",4750000,"85-10-12","Malm_","SWE","SWE",75,210,2004,2,49,"L","Soderberg","Carl","C/LW","COL",80,6,8,4,4,14,"Others"
"58",925000,"93-02-10","Edmonton","CAN","CAN",74,194,2011,4,92,"L","Simpson","Dillon","D","EDM",3,0,0,0,0,0,"CAN"
"59",6e+06,"90-09-20","Mississauga","CAN","CAN",73,211,2009,1,1,"L","Tavares","John","C","NYI",77,28,38,21,17,66,"CAN"
"60",925000,"98-03-02","Calgary","CAN","CAN",73,180,2016,1,8,"R","Nylander","Alex","RW/LW","BUF",4,0,1,1,0,1,"CAN"
"61",767500,"95-04-16","Cornwall","CAN","CAN",73,210,2013,2,40,"L","Elie","Remi","LW","DAL",18,1,6,2,4,7,"CAN"
"62",3500000,"89-06-05","Riverside","USA","USA",68,182,2008,6,157,"R","Atkinson","Cam","RW","CBJ",82,35,27,18,9,62,"USA"
"63",4500000,"91-03-20","Eden Prairie","USA","USA",72,199,2009,1,16,"L","Leddy","Nick","D","NYI",81,11,35,17,18,46,"USA"
"64",750000,"83-02-02","Churchill","CAN","CAN",69,195,2001,4,98,"R","Tootoo","Jordin","RW","CHI",50,2,1,0,1,3,"CAN"
"65",3100000,"87-05-02","Caroline","CAN","CAN",70,170,2005,3,67,"L","Russell","Kris","D","EDM",68,1,12,2,10,13,"CAN"
"66",2350000,"94-07-25","Regina","CAN","CAN",72,183,2012,1,7,"R","Dumba","Matt","D","MIN",76,11,23,10,13,34,"CAN"
"68",7e+05,"87-05-19","Madison","USA","USA",73,216,2005,1,7,"R","Skille","Jack","RW","VAN",55,5,4,4,0,9,"USA"
"71",650000,"96-05-27","Saskatoon","CAN","CAN",74,191,2014,4,101,"R","Nogier","Nelson","D","WPG",10,0,0,0,0,0,"CAN"
"72",2600000,"91-07-27","Laval","CAN","CAN",76,218,2009,1,30,"L","Despres","Simon","D","ANA",1,0,0,0,0,0,"CAN"
"73",667500,"95-12-12","Brooklyn","USA","USA",71,185,2014,6,171,"R","Labanc","Kevin","RW","S.J",55,8,12,10,2,20,"USA"
